cd_id,stable_2013,stable_2019,other_status_2019,year_stable
CD000016,y,y,Nil,2011
CD000026,n,y,Nil,
CD000044,n,y,Withdrawn,
CD000050,n,y,Withdrawn,
CD000056,n,y,Withdrawn,
CD000061,n,y,Withdrawn,
CD000068,y,y,Nil,2008
CD000069,y,n,Unchanged,2008
CD000087,n,y,Withdrawn,
CD000092,n,y,Withdrawn,
CD000094,y,y,Nil,2010
CD000095,n,y,Nil,
CD000097,n,y,Withdrawn,
CD000102,n,y,Nil,
CD000107,n,y,Withdrawn,
CD000150,n,y,Withdrawn,
CD000151,n,y,Withdrawn,
CD000152,n,y,Withdrawn,
CD000153,n,y,Withdrawn,
CD000155,y,y,Nil,2009
CD000188,y,y,Nil,2012
CD000193,y,y,Nil,2011
CD000194,y,y,Nil,2011
CD000239,n,y,Nil,
CD000249,n,y,Nil,
CD000256,y,y,Nil,2009
CD000269,y,y,Nil,2008
CD000346,n,y,Withdrawn,
CD000386,y,y,Nil,2008
CD000442,y,y,Nil,2008
CD000460,y,n,Normal,2012
CD000524,n,y,Nil,
CD000527,y,y,Nil,2009
CD000563,n,y,Nil,
CD000969,n,y,Nil,
CD000974,y,y,Nil,2010
CD000993,y,n,Withdrawn,2012
CD001017,y,y,Nil,2008
CD001018,y,y,Nil,2011
CD001036,y,y,Nil,2007
CD001040,n,y,Nil,
CD001046,y,n,Normal,2012
CD001047,y,y,Nil,2010
CD001089,n,y,Withdrawn,
CD001093,y,y,Nil,2012
CD001095,y,y,Nil,2012
CD001104,y,y,Nil,2012
CD001112,y,y,Nil,2012
CD001144,y,y,Nil,2011
CD001161,n,y,Withdrawn,
CD001166,y,y,Nil,2009
CD001169,y,y,Nil,2012
CD001218,n,y,Nil,
CD001219,n,y,Nil,
CD001294,n,y,Withdrawn,
CD001298,y,n,Normal,2011
CD001299,n,y,Withdrawn,
CD001301,y,y,Nil,2011
CD001302,n,y,Nil,
CD001306,n,y,Withdrawn,
CD001331,n,y,Nil,
CD001363,y,y,Nil,2009
CD001385,n,y,Nil,
CD001418,y,y,Nil,2009
CD001419,y,y,Nil,2011
CD001440,y,y,Nil,2008
CD001474,y,y,Nil,2008
CD001486,n,y,Nil,
CD001498,y,y,Nil,2008
CD001500,n,y,Nil,
CD001527,y,y,Nil,2010
CD001543,n,y,Nil,
CD001547,y,y,Nil,2011
CD001548,y,y,Nil,2012
CD001552,n,y,Nil,
CD001561,y,y,Nil,2013
CD001697,y,y,Nil,2010
CD001750,n,y,Nil,
CD001755,y,n,Normal,2009
CD001768,n,y,Nil,
CD001774,n,y,Nil,
CD001792,n,y,Nil,
CD001799,y,y,Nil,2009
CD001832,n,y,Nil,
CD001842,y,y,Nil,2010
CD001856,y,y,Nil,2009
CD001877,n,y,Nil,
CD001895,y,y,Nil,2012
CD001900,y,y,Nil,2012
CD001913,y,y,Nil,2010
CD001917,y,n,Normal,2012
CD001924,y,y,Nil,2010
CD001960,n,y,Withdrawn,
CD002023,n,y,Withdrawn,
CD002033,n,y,Nil,
CD002035,n,y,Withdrawn,
CD002036,n,y,Nil,
CD002037,y,y,Nil,2012
CD002038,y,y,Nil,2010
CD002039,y,y,Nil,2010
CD002067,n,y,Nil,
CD002070,y,y,Nil,2012
CD002087,y,y,Nil,2010
CD002094,n,y,Withdrawn,
CD002101,n,y,Nil,
CD002119,y,y,Nil,2009
CD002123,y,y,Nil,2009
CD002127,n,y,Nil,
CD002133,y,y,Nil,2012
CD002137,n,y,Nil,
CD002138,y,y,Nil,2012
CD002139,n,y,Nil,
CD002219,y,y,Nil,2012
CD002224,n,y,Nil,
CD002225,y,y,Nil,2009
CD002227,y,y,Nil,2013
CD002230,y,y,Nil,2012
CD002248,y,y,Nil,2011
CD002249,n,y,Nil,
CD002278,n,y,Nil,
CD002282,n,y,Nil,
CD002286,n,y,Nil,
CD002299,y,y,Nil,2010
CD002300,y,y,Nil,2010
CD002747,y,y,Nil,2010
CD002748,n,y,Nil,
CD002751,n,y,Nil,
CD002760,y,y,Nil,2008
CD002762,y,y,Nil,2008
CD002763,n,y,Nil,
CD002764,n,y,Nil,
CD002765,n,y,Nil,
CD002767,n,y,Nil,
CD002806,y,y,Nil,2010
CD002807,y,y,Nil,2007
CD002810,n,y,Withdrawn,
CD002811,n,y,Nil,
CD002835,y,y,Nil,2010
CD002876,y,y,Nil,2012
CD002901,n,y,Nil,
CD002918,n,y,Nil,
CD002943,n,y,Nil,
CD002980,y,y,Nil,2008
CD002988,y,y,Nil,2012
CD002999,y,y,Nil,2012
CD003012,y,y,Nil,2012
CD003052,n,y,Nil,
CD003053,n,y,Nil,
CD003057,y,y,Nil,2011
CD003078,n,y,Nil,
CD003133,y,y,Nil,2011
CD003139,n,y,Nil,
CD003140,n,y,Nil,
CD003153,y,y,Nil,2008
CD003155,y,y,Nil,2008
CD003176,n,y,Nil,
CD003178,n,y,Nil,
CD003180,y,y,Nil,2012
CD003219,y,n,Unchanged,2012
CD003223,n,y,Nil,
CD003227,y,n,Withdrawn,2010
CD003230,y,y,Nil,2012
CD003235,n,y,Nil,
CD003245,n,y,Withdrawn,
CD003255,y,y,Nil,2012
CD003264,y,y,Nil,2012
CD003265,y,y,Nil,2012
CD003266,n,y,Nil,
CD003269,y,n,Unchanged,2008
CD003292,n,y,Nil,
CD003293,n,y,Nil,
CD003296,n,y,Nil,
CD003343,y,n,Normal,2011
CD003345,n,y,Nil,
CD003348,n,y,Nil,
CD003351,n,y,Nil,
CD003362,y,n,Normal,2011
CD003366,n,y,Nil,
CD003374,n,y,Nil,
CD003415,y,y,Nil,2012
CD003445,y,y,Nil,2009
CD003474,n,y,Nil,
CD003550,n,y,Nil,
CD003562,n,y,Nil,
CD003584,n,y,Nil,
CD003635,y,y,Nil,2012
CD003636,y,n,Normal,2009
CD003643,n,y,Nil,
CD003651,y,y,Nil,2011
CD003672,y,y,Nil,2008
CD003673,y,y,Nil,2008
CD003679,n,y,Withdrawn,
CD003697,n,y,Nil,
CD003712,n,y,Nil,
CD003719,n,y,Nil,
CD003750,y,y,Nil,2012
CD003782,n,y,Nil,
CD003836,y,y,Nil,2012
CD003859,n,y,Nil,
CD003867,y,y,Nil,2011
CD003868,n,y,Nil,
CD003870,n,y,Nil,
CD003876,n,y,Nil,
CD003884,n,y,Nil,
CD003885,y,y,Nil,2011
CD003890,n,y,Withdrawn,
CD003905,y,n,Unchanged,2012
CD003911,n,y,Nil,
CD003913,y,y,Nil,2009
CD003916,n,y,Nil,
CD003918,y,y,Nil,2007
CD003936,y,y,Nil,2010
CD003939,y,y,Nil,2011
CD003963,n,y,Nil,
CD003973,n,y,Withdrawn,
CD003993,n,y,Nil,
CD004001,n,y,Nil,
CD004031,y,y,Nil,2008
CD004062,y,y,Nil,2009
