cd_id,assessed,reason,title,crg
CD000016,Dual,A,Amodiaquine for treating malaria,Infectious Diseases Group
CD000026,Cochrane,A,Routine versus selective antifungal administration for control of fungal infections in patients with cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD000068,Cochrane,B,Danazol for pelvic pain associated with endometriosis,Gynaecology and Fertility Group
CD000069,Dual,B,Danazol for unexplained subfertility,Gynaecology and Fertility Group
CD000094,Dual,B,Gangliosides for acute ischaemic stroke,Stroke Group
CD000095,Cochrane,B,Garlic for peripheral arterial occlusive disease,Vascular Group
CD000102,Cochrane,F,Interventions for reducing the risk of mother-to-child transmission of HIV infection,Infectious Diseases Group
CD000155,Dual,B,Ovulation suppression for endometriosis for women with subfertility,Gynaecology and Fertility Group
CD000188,Single,E,Steroid sex hormones for lower limb atherosclerosis,Vascular Group
CD000193,Dual,B,Somatostatin analogues for acute bleeding oesophageal varices,Hepato-Biliary Group
CD000194,Dual,B,Spironolactone versus placebo or in combination with steroids for hirsutism and/or acne,Gynaecology and Fertility Group
CD000239,Cochrane,A,Amphotericin B versus fluconazole for controlling fungal infections in neutropenic cancer patients,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD000249,Single,B,Antifibrinolytics for heavy menstrual bleeding,Gynaecology and Fertility Group
CD000256,Dual,A,Artemisinin derivatives for treating uncomplicated malaria,Infectious Diseases Group
CD000269,Dual,B,Cytidinediphosphocholine (CDP-choline) for cognitive and behavioural disturbances associated with chronic cerebral disorders in the elderly,Dementia and Cognitive Improvement Group
CD000386,Dual,A,Chloroquine or amodiaquine combined with sulfadoxine-pyrimethamine for treating uncomplicated malaria,Infectious Diseases Group
CD000442,Dual,C,Selegiline for Alzheimer's disease,Dementia and Cognitive Improvement Group
CD000524,Cochrane,F,Cognitive behaviour therapy for schizophrenia,Schizophrenia Group
CD000527,Dual,F,Artemisinin derivatives for treating severe malaria,Infectious Diseases Group
CD000563,Single,G,Post-operative radiotherapy for ductal carcinoma in situ of the breast,Breast Cancer Group
CD000969,Cochrane,A,Amphotericin B lipid soluble formulations versus amphotericin B in cancer patients with neutropenia,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD000974,Dual,A,Vaccines for preventing cholera: killed whole cell or other subunit vaccines (injected),Infectious Diseases Group
CD001017,Dual,B,Danazol for heavy menstrual bleeding,Gynaecology and Fertility Group
CD001018,Dual,B,Oestrogen and progestogen hormone replacement therapy for peri-menopausal and post-menopausal women: weight and body fat distribution,Gynaecology and Fertility Group
CD001036,Dual,A,Collection devices for obtaining cervical cytology samples,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD001040,Cochrane,B,Adjuvant progestagens for endometrial cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD001047,Dual,B,Pool fencing for preventing drowning of children,Injuries Group
CD001093,Dual,A,Polysaccharide vaccines for preventing serogroup A meningococcal meningitis,Acute Respiratory Infections Group
CD001095,Dual,C,Short-course antibiotics for acute otitis media,Acute Respiratory Infections Group
CD001104,Dual,F,Long-acting beta2-agonists for poorly reversible chronic obstructive pulmonary disease,Airways Group
CD001112,Cochrane,A,Caffeine for asthma,Airways Group
CD001144,Dual,F,Moderately early (7-14 days) postnatal corticosteroids for preventing chronic lung disease in preterm infants,Neonatal Group
CD001166,Dual,C,Mycobacterium vaccae immunotherapy for treating tuberculosis,Infectious Diseases Group
CD001169,Dual,A,Amantadine and rimantadine for influenza A in adults,Acute Respiratory Infections Group
CD001218,Single,E,Acupuncture for the prevention of episodic migraine,"Pain, Palliative and Supportive Care Group"
CD001219,Cochrane,B,Corticosteroids for the resolution of malignant bowel obstruction in advanced gynaecological and gastrointestinal cancer,"Pain, Palliative and Supportive Care Group"
CD001301,Dual,B,Intra-cytoplasmic sperm injection versus conventional techniques for oocyte insemination during in vitro fertilisation in couples with non-male subfertility,Gynaecology and Fertility Group
CD001302,Single,B,Volume expanders for the prevention of ovarian hyperstimulation syndrome,Gynaecology and Fertility Group
CD001331,Cochrane,B,Corticosteroids or ACTH for acute exacerbations in multiple sclerosis,Multiple Sclerosis and Rare Diseases of the CNS Group
CD001363,Dual,B,Isoniazid for preventing tuberculosis in non-HIV infected persons,Infectious Diseases Group
CD001385,Cochrane,A,Long-acting beta2-agonists for chronic asthma in adults and children where background therapy contains varied or no inhaled corticosteroid,Airways Group
CD001418,Single,H,Chemotherapy for advanced ovarian cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD001419,Dual,H,Adjuvant chemotherapy for localised resectable soft tissue sarcoma in adults,"Gynaecological, Neuro-oncology and Orphan Cancer Group"
CD001440,Dual,B,"Single dose oral dextropropoxyphene, alone and with paracetamol (acetaminophen), for postoperative pain","Pain, Palliative and Supportive Care Group"
CD001474,Dual,B,Iron-chelating agents for treating malaria,Infectious Diseases Group
CD001486,Cochrane,B,Surgery for varicose veins: use of tourniquet,Vascular Group
CD001498,Dual,C,Thiamine for Alzheimer's disease,Dementia and Cognitive Improvement Group
CD001500,Single,B,Local oestrogen for vaginal atrophy in postmenopausal women,Gynaecology and Fertility Group
CD001527,Dual,A,Aminosteroids for acute traumatic brain injury,Injuries Group
CD001543,Single,B,Shouldice technique versus other open techniques for inguinal hernia repair,Colorectal Cancer Group
