cd_id,title,crg,concluded_effect,research_needed,if_no_other_qs,analytic_method,if_yes_type,evidence_rating,if_no_best_evidence,sof
CD000442,Selegiline for Alzheimer's disease,Dementia and Cognitive Improvement Group,No evidence of benefit,no,no,no,,no,A; low risk of bias,no
CD001095,Short-course antibiotics for acute otitis media,Acute Respiratory Infections Group,Benefit,no,yes,no,,no,low risk of bias,yes
CD001166,Mycobacterium vaccae immunotherapy for treating tuberculosis,Infectious Diseases Group,No evidence of benefit,no,no,no,,no,adequate,no
CD001498,Thiamine for Alzheimer's disease,Dementia and Cognitive Improvement Group,No conclusion,none,none,no,,no,"assessed, but not reported",no
CD001548,Single dose oral ibuprofen for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group",Benefit,no,yes,no,,high quality,,no
CD002039,Immediate versus deferred zidovudine (AZT) in asymptomatic or mildly symptomatic HIV infected adults,Infectious Diseases Group,No evidence of benefit,yes,,no,,adequate,,no
CD002067,Single dose oral aspirin for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group",Benefit,no,no,no,,good,,no
CD002249,Clomiphene and other antioestrogens for ovulation induction in polycystic ovarian syndrome,Gynaecology and Fertility Group,Some evidence of benefit,yes,,no,,"low, our confidence in the effect estimate is limited, the true effect may be substantially different from the estimate of the effect.",,yes
CD002763,Single dose oral oxycodone and oxycodone plus paracetamol (acetaminophen) for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group",Benefit,yes,,no,,no,Jadad 5/5,no
CD003153,D-cycloserine for Alzheimer's disease,Dementia and Cognitive Improvement Group,No evidence of benefit,no,no,yes,sample size calculation for larger trials,moderate,,no
CD003255,Condom effectiveness in reducing heterosexual HIV transmission,Infectious Diseases Group,Benefit,yes,,no,,no,not assessed,no
CD003266,Recombinant human erythropoietin versus placebo or no treatment for the anaemia of chronic kidney disease in people not requiring dialysis,Kidney and Transplant Group,Benefit,yes,,no,,no,low/unclear risk of bias,no
CD003697,Statins and fibrates for preventing melanoma,Skin Group,No evidence of benefit,yes,,no,,no,A; low risk of bias,no
CD003719,Recombinant versus urinary human chorionic gonadotrophin for final oocyte maturation triggering in IVF and ICSI cycles,Gynaecology and Fertility Group,No evidence of superiority,yes,,no,,"moderate, further research is likely to have an important impact on our confidence in the estimate of effect and may change the estimate.",,yes
CD003916,Adjuvant radiotherapy for stage I endometrial cancer,"Gynaecological, Neuro-oncology and Orphan Cancer Group","Some evidence of benefit, adverse effects",yes,,no,,"high, further research is very unlikely to change our confidence in the estimate of effect.",,yes
CD003939,Nonoxynol-9 for preventing vaginal acquisition of sexually transmitted infections by women from men,Sexually Transmitted Infections Group,"No evidence of benefit, adverse effects",no,no,no,,"high, further research is very unlikely to change our confidence in the estimate of effect.",,yes
CD004062,Helicobacter pylori eradication therapy vs. antisecretory non_eradication therapy (with or without long_term maintenance antisecretory therapy) for the prevention of recurrent bleeding from peptic ulcer,Upper GI and Pancreatic Diseases Group,Benefit,no,yes,no,,low,,no
CD004233,Single dose oral celecoxib for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group",Benefit,no,no,no,,adequate,,no
CD004309,Single dose oral etoricoxib for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group",Benefit,no,no,no,,"high, further research is very unlikely to change our confidence in the estimate of effect.",,yes
CD004386,Antibiotic prophylaxis for bacterial infections in afebrile neutropenic patients following chemotherapy,"Gynaecological, Neuro-oncology and Orphan Cancer Group",Benefit,yes,,no,,"high, further research is very unlikely to change our confidence in the estimate of effect.",,yes
CD004390,Oral versus intravenous rehydration for treating dehydration due to gastroenteritis in children,Infectious Diseases Group,"No evidence of benefit, adverse effects",no,yes,yes,cumulative meta-analysis,moderate,,no
CD004416,Oral evening primrose oil and borage oil for eczema,Skin Group,No evidence of benefit,no,no,no,,no,low risk of bias,no
CD004571,Calcium antagonists for Duchenne muscular dystrophy,Neuromuscular Disease Group,No evidence of benefit,yes,,no,,no,low/unclear risk of bias,no
CD004602,Single dose oral paracetamol (acetaminophen) for postoperative pain in adults,"Pain, Palliative and Supportive Care Group",Benefit,no,yes,no,,no,Jadad 5/5,no
CD004771,Intravenous or intramuscular parecoxib for acute postoperative pain in adults,"Pain, Palliative and Supportive Care Group",Benefit,yes,,no,,no,Jadad 5/5,no
CD004832,Aspirin for in vitro fertilisation,Gynaecology and Fertility Group,"No evidence of benefit, adverse effects",yes,,no,,"moderate, further research is likely to have an important impact on our confidence in the estimate of effect and may change the estimate.",,yes
CD005434,Electronic mosquito repellents for preventing mosquito bites and malaria infection,Infectious Diseases Group,No evidence of benefit,no,no,not applicable,,no studies,,no
CD006044,Lamotrigine for chronic neuropathic pain and fibromyalgia in adults,"Pain, Palliative and Supportive Care Group","No evidence of benefit, adverse effects",no,no,no,,"high, further research is very unlikely to change our confidence in the estimate of effect.",,yes
CD006227,Microwave therapy for cervical ectropion,Gynaecology and Fertility Group,No evidence of benefit,yes,,not applicable,,no studies,,no
CD007291,Vaginal dilator therapy for women receiving pelvic radiotherapy,"Gynaecological, Neuro-oncology and Orphan Cancer Group",No evidence of benefit,yes,,not applicable,,no studies,,no
CD008039,Ibuprofen with or without an antiemetic for acute migraine headaches in adults,"Pain, Palliative and Supportive Care Group",Benefit,yes,no,no,,"moderate, further research is likely to have an important impact on our confidence in the estimate of effect and may change the estimate.",,yes
CD008041,Aspirin with or without an antiemetic for acute migraine headaches in adults,"Pain, Palliative and Supportive Care Group",Benefit,yes,,no,,"moderate, further research is likely to have an important impact on our confidence in the estimate of effect and may change the estimate.",,yes
CD008596,Histamine H2-receptor antagonists for urticaria,Skin Group,No evidence of benefit,yes,,no,,no,high/unclear risk of bias,no
CD008615,Sumatriptan (oral route of administration) for acute migraine attacks in adults,"Pain, Palliative and Supportive Care Group",Benefit,no,yes,no,,good,,no
