cd_id,crg,analytic_method,type
CD002149,Hepato-Biliary Group,Yes,TSA
CD003610,Heart Group,Yes,TSA
CD004681,Kidney and Transplant Group,Yes,TSA
CD008845,Hepato-Biliary Group,Yes,TSA
CD008853,Hepato-Biliary Group,Yes,TSA
CD009050,Hepato-Biliary Group,Yes,TSA
CD009057,Hepato-Biliary Group,Yes,TSA
CD009253,Hepato-Biliary Group,Yes,TSA
CD009521,Hepato-Biliary Group,Yes,TSA
CD009522,Hepato-Biliary Group,Yes,TSA
CD009523,Hepato-Biliary Group,Yes,TSA
CD009754,Hepato-Biliary Group,Yes,TSA
CD009918,Hepato-Biliary Group,Yes,TSA
CD010065,Hepato-Biliary Group,Yes,TSA
CD010122,Hepato-Biliary Group,Yes,TSA
CD010174,Hepato-Biliary Group,Yes,TSA
CD010262,Heart Group,No,
CD010504,Hepato-Biliary Group,Yes,TSA
CD010506,Hepato-Biliary Group,Yes,TSA
CD010545,Hepato-Biliary Group,Yes,TSA
CD010588,Hepato-Biliary Group,Yes,TSA
CD010739,Wounds Group,Yes,TSA
CD010838,Hepato-Biliary Group,Yes,TSA
CD010872,Hepato-Biliary Group,Yes,TSA
CD010892,Injuries Group,Yes,OIS - GRADE
CD010894,Injuries Group,Yes,RIS
CD010897,Hepato-Biliary Group,Yes,TSA
CD011002,Hepato-Biliary Group,Yes,TSA
CD011026,Hepato-Biliary Group,Yes,TSA
CD011037,Hepato-Biliary Group,Yes,TSA
CD011039,Hepato-Biliary Group,Yes,TSA
CD011071,Schizophrenia Group,Yes,TSA
CD011081,Upper GI and Pancreatic Diseases Group,Yes,TSA
CD011233,Hepato-Biliary Group,Yes,TSA
CD011561,Hepato-Biliary Group,Yes,TSA
CD011568,Hepato-Biliary Group,Yes,TSA
CD011573,Hepato-Biliary Group,Yes,TSA
CD011585,Hepato-Biliary Group,Yes,TSA
CD011591,Common Mental Disorders Group,Yes,TSA
CD011610,Heart Group,Yes,TSA
CD011641,Hepato-Biliary Group,Yes,RIS
CD011643,Hepato-Biliary Group,Yes,RIS
CD011659,Hepato-Biliary Group,Yes,TSA
CD011691,Hepato-Biliary Group,Yes,TSA
CD011727,Hepato-Biliary Group,Yes,TSA
CD011803,Hepato-Biliary Group,Yes,TSA
CD011949,Hepato-Biliary Group,Yes,TSA
CD011973,Hepato-Biliary Group,Yes,TSA
CD011981,Hepato-Biliary Group,Yes,TSA
CD012039,Hypertension Group,Yes,TSA
CD012068,Heart Group,Yes,TSA
CD012100,Airways Group,Yes,OIS - GRADE
CD012123,Hepato-Biliary Group,Yes,TSA
CD012127,Hepato-Biliary Group,Yes,TSA
CD012138,Hepato-Biliary Group,Yes,TSA
CD012153,Neonatal Group,Yes,OIS - GRADE
CD012168,Hepato-Biliary Group,Yes,TSA
CD012262,Anaesthesia Group,Yes,TSA
CD012358,Hepato-Biliary Group,Yes,TSA
CD012359,Hepato-Biliary Group,Yes,TSA
CD012400,Hepato-Biliary Group,Yes,TSA
CD012411,Hepato-Biliary Group,Yes,TSA
CD012428,Stroke Group,Yes,TSA
CD012480,Heart Group,Yes,TSA
CD012484,Heart Group,Yes,TSA
CD012495,Hepato-Biliary Group,Yes,TSA
CD012496,Hepato-Biliary Group,Yes,TSA
CD012565,Heart Group,Yes,TSA
CD012608,Hepato-Biliary Group,Yes,TSA
CD012631,Emergency and Critical Care Group,Yes,TSA
CD012635,Injuries Group,Yes,TSA
CD012639,Injuries Group,Yes,TSA
CD012694,Hepato-Biliary Group,Yes,TSA
CD012695,Hepato-Biliary Group,Yes,TSA
CD012727,Injuries Group,Yes,TSA
CD012734,Hepato-Biliary Group,Yes,TSA
CD012757,Hepato-Biliary Group,Yes,TSA
CD012758,Hepato-Biliary Group,Yes,TSA
CD012805,Hepato-Biliary Group,Yes,TSA
CD012814,Hepato-Biliary Group,Yes,TSA
CD012857,"Developmental, Psychosocial and Learning Problems Group",Yes,TSA
CD012897,Heart Group,Yes,TSA
CD012906,Metabolic and Endocrine Disorders Group,Yes,TSA
CD012955,"Developmental, Psychosocial and Learning Problems Group",Yes,TSA
CD012956,"Developmental, Psychosocial and Learning Problems Group",Yes,TSA
CD012971,Hepato-Biliary Group,Yes,TSA
CD012980,Injuries Group,Yes,RIS
CD013060,Hepato-Biliary Group,Yes,TSA
CD013062,Injuries Group,Yes,TSA
CD013066,Stroke Group,Yes,TSA
CD013081,Hepato-Biliary Group,Yes,TSA
CD013084,Injuries Group,Yes,TSA
CD013086,Hepato-Biliary Group,Yes,TSA
CD013087,Public Health Group,No,
CD013090,Hepato-Biliary Group,Yes,TSA
CD013096,Stroke Group,Yes,TSA
CD013121,Hepato-Biliary Group,Yes,TSA
CD013122,Hepato-Biliary Group,Yes,TSA
CD013123,Hepato-Biliary Group,Yes,TSA
CD013125,Hepato-Biliary Group,Yes,TSA
CD013155,Hepato-Biliary Group,Yes,TSA
CD013156,Hepato-Biliary Group,Yes,TSA
CD013157,Hepato-Biliary Group,Yes,TSA
CD013174,Hepato-Biliary Group,Yes,TSA
CD013175,Hepato-Biliary Group,Yes,TSA
CD013197,Hepato-Biliary Group,Yes,TSA
CD013203,Hepato-Biliary Group,Yes,TSA
CD013204,Hepato-Biliary Group,Yes,TSA
CD013214,Hepato-Biliary Group,Yes,TSA
CD013259,Colorectal Cancer Group,Yes,TSA
CD013289,Hepato-Biliary Group,Yes,TSA
CD013301,Hepato-Biliary Group,Yes,TSA
CD013345,Hepato-Biliary Group,Yes,TSA
CD013359,Infectious Diseases Group,Yes,OIS - GRADE
CD013397,Wounds Group,Yes,OIS - GRADE
CD013431,Hepato-Biliary Group,Yes,TSA
CD013439,Wounds Group,Yes,TSA
MR000050,Methodology Group,Yes,TSA
